Namespace(exp_name='semseg_s3dis_6', model='dgcnn', dataset='S3DIS', test_area='6', batch_size=32, test_batch_size=16, epochs=100, use_sgd=True, lr=0.001, momentum=0.9, scheduler='cos', no_cuda=False, seed=1, eval=False, num_points=4096, dropout=0.5, emb_dims=1024, k=20, model_root='', visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Namespace(exp_name='semseg_s3dis_6', model='dgcnn', dataset='S3DIS', test_area='6', batch_size=32, test_batch_size=16, epochs=100, use_sgd=True, lr=0.001, momentum=0.9, scheduler='cos', no_cuda=False, seed=1, eval=False, num_points=4096, dropout=0.5, emb_dims=1024, k=20, model_root='', visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Namespace(exp_name='semseg_s3dis_6', model='dgcnn', dataset='S3DIS', test_area='6', batch_size=32, test_batch_size=16, epochs=100, use_sgd=True, lr=0.001, momentum=0.9, scheduler='cos', no_cuda=False, seed=1, eval=False, num_points=4096, dropout=0.5, emb_dims=1024, k=20, model_root='', visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Namespace(exp_name='semseg_s3dis_6', model='dgcnn', dataset='S3DIS', test_area='6', batch_size=32, test_batch_size=16, epochs=100, use_sgd=True, lr=0.001, momentum=0.9, scheduler='cos', no_cuda=False, seed=1, eval=False, num_points=4096, dropout=0.5, emb_dims=1024, k=20, model_root='', visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Train 27, loss: 0.230906, train acc: 0.917161, train avg acc: 0.854448, train iou: 0.761765
Test 27, loss: 0.623049, test acc: 0.823795, test avg acc: 0.660745, test iou: 0.558720
Train 28, loss: 0.224898, train acc: 0.919018, train avg acc: 0.858840, train iou: 0.768146
Test 28, loss: 0.574697, test acc: 0.839453, test avg acc: 0.724393, test iou: 0.601073
Train 29, loss: 0.227460, train acc: 0.917958, train avg acc: 0.860595, train iou: 0.769506
Test 29, loss: 0.555960, test acc: 0.826741, test avg acc: 0.739904, test iou: 0.597011
Train 30, loss: 0.216309, train acc: 0.922238, train avg acc: 0.867484, train iou: 0.779504
Test 30, loss: 0.593937, test acc: 0.810468, test avg acc: 0.687425, test iou: 0.579459
Train 31, loss: 0.215031, train acc: 0.922589, train avg acc: 0.867458, train iou: 0.780185
Test 31, loss: 1.347260, test acc: 0.693740, test avg acc: 0.609733, test iou: 0.407691
Train 32, loss: 0.213729, train acc: 0.922848, train avg acc: 0.866255, train iou: 0.778237
Test 32, loss: 0.619526, test acc: 0.826137, test avg acc: 0.686027, test iou: 0.569559
Train 33, loss: 0.207932, train acc: 0.924628, train avg acc: 0.874402, train iou: 0.787144
Test 33, loss: 0.645381, test acc: 0.815359, test avg acc: 0.685314, test iou: 0.567264
Train 34, loss: 0.205131, train acc: 0.926448, train avg acc: 0.876633, train iou: 0.792160
Test 34, loss: 1.023320, test acc: 0.694806, test avg acc: 0.564144, test iou: 0.456900
Train 35, loss: 0.201557, train acc: 0.927195, train avg acc: 0.878293, train iou: 0.793906
Test 35, loss: 0.614240, test acc: 0.840990, test avg acc: 0.699214, test iou: 0.592923
Train 36, loss: 0.192780, train acc: 0.930330, train avg acc: 0.885122, train iou: 0.803722
Test 36, loss: 0.715934, test acc: 0.820389, test avg acc: 0.681535, test iou: 0.559917
Train 37, loss: 0.195402, train acc: 0.929970, train avg acc: 0.884640, train iou: 0.804268
Test 37, loss: 0.679513, test acc: 0.798661, test avg acc: 0.651904, test iou: 0.548254
Train 38, loss: 0.188183, train acc: 0.932193, train avg acc: 0.887510, train iou: 0.807613
Test 38, loss: 0.509289, test acc: 0.845351, test avg acc: 0.720965, test iou: 0.609509
Train 39, loss: 0.180636, train acc: 0.934799, train avg acc: 0.895705, train iou: 0.817822
Test 39, loss: 0.579139, test acc: 0.830021, test avg acc: 0.781097, test iou: 0.607140
Train 40, loss: 0.180604, train acc: 0.934742, train avg acc: 0.893440, train iou: 0.814937
